-4.5202,-3.91939,7.76924,1605235236001955584.npy,1605235236001955584_camera_0.jpg
-0.397704,-0.342053,9.8259,1605235236103957760.npy,1605235236157958912_camera_0.jpg
3.54936,-3.95035,8.24327,1605235236205959936.npy,1605235236307962112_camera_0.jpg
-3.77249,-3.5261,8.31287,1605235236409964288.npy,1605235236409964288_camera_0.jpg
-1.77272,2.72752,9.32263,1605235236511966464.npy,1605235236511966464_camera_0.jpg
2.68161,0.182735,9.46026,1605235236613968640.npy,1605235236691970304_camera_0.jpg
-2.72987,-0.651607,9.40114,1605235236817972992.npy,1605235236817972992_camera_0.jpg
3.0588,-1.57586,9.12173,1605235236919975168.npy,1605235237021977344_camera_0.jpg
-4.60446,1.88144,8.49211,1605235237123979520.npy,1605235237156980224_camera_0.jpg
-0.254319,2.87407,9.35245,1605235237225981696.npy,1605235237258982400_camera_0.jpg
4.01759,4.07436,8.00131,1605235237327983872.npy,1605235237327983872_camera_0.jpg
0.171199,-3.31661,9.15937,1605235237429986048.npy,1605235237453986560_camera_0.jpg
-4.34156,-2.18911,8.54478,1605235237735992576.npy,1605235237735992576_camera_0.jpg
-1.19455,1.48762,9.60108,1605235237837994752.npy,1605235237852995072_camera_0.jpg
1.76247,3.08197,9.08101,1605235238041999104.npy,1605235238041999104_camera_0.jpg
3.72795,4.57505,7.87131,1605235238144001280.npy,1605235238147001344_camera_0.jpg
0.862906,-0.620684,9.76301,1605235238246003456.npy,1605235238342005504_camera_0.jpg
-4.69008,-2.20903,8.32063,1605235238450007808.npy,1605235238450007808_camera_0.jpg
1.41798,-3.17792,9.15491,1605235238552009984.npy,1605235238612011264_camera_0.jpg
-2.38016,1.95396,9.2595,1605235238654012160.npy,1605235238654012160_camera_0.jpg
3.16039,2.90313,8.83524,1605235238858016512.npy,1605235238858016512_camera_0.jpg
0.751605,3.02188,9.30055,1605235238960018688.npy,1605235238978019072_camera_0.jpg
4.32302,-3.53661,7.97356,1605235239062020864.npy,1605235239062020864_camera_0.jpg
3.26531,3.92564,8.38998,1605235239164023040.npy,1605235239263025152_camera_0.jpg
-4.3571,2.4382,8.55198,1605235239368027392.npy,1605235239368027392_camera_0.jpg
